="Ärende (År:nr)";="Registreringsdatum";="Ärendemening"
="SI 2026:8762";="2026-09-03";="Uppgift om Höglandsskolan med huvudmannen STOCKHOLMS KOMMUN i Stockholms kommun "
="SI 2026:8761";="2026-09-03";="Uppgift om Nils Fredriksson Gymnasium med huvudmannen SVEDALA KOMMUN i Svedala kommun "
="SI 2026:8760";="2026-09-03";="Uppgift om Hermodsdalsskolan med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8759";="2026-09-03";="Uppgift om LJUSTORPS FÖRSKOLA med huvudmannen TIMRÅ KOMMUN i Timrå kommun "
="SI 2026:8758";="2026-09-03";="Uppgift om Sveaskolan LIMHAMN med huvudmannen Sveaskolan AB i Malmö kommun "
="SI 2026:8757";="2026-09-03";="Anmälan om att använda fjärrundervisning från SÖDRA LAPPLANDS GYMNASIEFÖRBUND för Tärnaby Alpina Gymnasium "
="SI 2026:8756";="2026-09-03";="Anmälan om att använda fjärrundervisning från SÖDRA LAPPLANDS GYMNASIEFÖRBUND för Luspengymnasiet "
="SI 2026:8755";="2026-09-03";="Anmälan om att använda fjärrundervisning från SÖDRA LAPPLANDS GYMNASIEFÖRBUND för Malgomajskolan 1 "
="SI 2026:8754";="2026-09-03";="Uppgift om Rosenvallskolan med huvudmannen SÖDERHAMNS KOMMUN i Söderhamns kommun "
="SI 2026:8753";="2026-09-03";="Anmälan om att använda fjärrundervisning från DOROTEA KOMMUN för Strandenskolan F-9 "
="SI 2026:8752";="2026-09-03";="Anmälan om att använda fjärrundervisning från DOROTEA KOMMUN för Risbäck "
="SI 2026:8751";="2026-09-03";"Uppgift om Nyhemsskolan Varbergs Krist sk med huvudmannen Nyhemsskolan-Varbergs Kristna Skola, ekonomisk förening i Varbergs kommun "
="SI 2026:8750";="2026-09-03";="Uppgift med huvudmannen VINDELNS KOMMUN i Vindelns kommun "
="SI 2026:8749";="2026-09-03";"Tematisk tillsyn, Yrkesförarutbildning för buss inom komvux, av Bergstrands Vuxenutbildningar AB/Bergstrands/Östra Bangatan 2b195 60 ARLANDASTAD för Offentlig huvudman NORRTÄLJE KOMMUN i Norrtälje kommun, läsåret 2026/2027 "
="SI 2026:8748";="2026-09-03";"Tematisk tillsyn, Yrkesförarutbildning för buss inom komvux, av YRKESAKADEMIN AB/Yrkesakademin/Nedre Åkargatan 67 A, 802 51 Gävle för Offentlig huvudman GÄVLE KOMMUN i Gävle kommun, läsåret 2026/2027 "
="SI 2026:8747";="2026-09-03";"Tematisk tillsyn, Yrkesförarutbildning för buss inom komvux, av Sthlm Transp&Fordon Lindvreten för Offentlig huvudman STOCKHOLMS KOMMUN i Stockholms kommun, läsåret 2026/2027 "
="SI 2026:8746";="2026-09-03";="Ansökan om betygsrätt för vuxenutbildning från Södra Folkhögskolan i Ej relevant "
="SI 2026:8745";="2026-09-03";="Uppgift om Montessori Mondial Kungsholmen med huvudmannen International Montessori School Sweden AB i Stockholms kommun "
="SI 2026:8744";="2026-09-03";="Uppgift om Kvarnbackaskolan F-6 med huvudmannen GNESTA KOMMUN i Gnesta kommun "
="SI 2026:8743";="2026-09-03";="Uppgift om Skillngeskolan SO2 med huvudmannen ÄNGELHOLMS KOMMUN i Ängelholms kommun "
="SI 2026:8742";="2026-09-03";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Nordmarks skola för Offentlig huvudman FILIPSTADS KOMMUN i Filipstads kommun, läsåret 2026/2027 "
="SI 2026:8741";="2026-09-03";="Uppgift om Valstads grundskola med huvudmannen TIDAHOLMS KOMMUN i Tidaholms kommun "
="SI 2026:8740";="2026-09-03";="Remiss slutbetänkandet Jämställdhet i en föränderlig tid ? nuläge och vägar framåt SOU 2026:41 "
="SI 2026:8739";="2026-09-03";="Uppgift om Helenaskolan med huvudmannen SKÖVDE KOMMUN i Skövde kommun "
="SI 2026:8738";="2026-09-03";="Uppgift om Långvinkeln Dibber med huvudmannen Dibber Olymp AB i Helsingborgs kommun "
="SI 2026:8737";="2026-09-03";="Anmälan om att använda fjärrundervisning från SÖDERHAMNS KOMMUN för Bergviksskolan åk F-3 "
="SI 2026:8736";="2026-09-03";="Uppgift om VÄSTRA FÖRSKOLAN med huvudmannen JÖNKÖPINGS KOMMUN i Jönköpings kommun "
="SI 2026:8735";="2026-09-03";="Uppgift om Örbyhus skola med huvudmannen TIERPS KOMMUN i Tierps kommun "
="SI 2026:8734";="2026-09-03";"Uppgift om Kunskapens hus, IM med huvudmannen MUNKEDALS KOMMUN i Munkedals kommun "
="SI 2026:8733";="2026-09-03";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Kyrkbacksskolan F-6 för Offentlig huvudman LJUSNARSBERGS KOMMUN i Ljusnarsbergs kommun, läsåret 2026/2027 "
="SI 2026:8732";="2026-09-03";="Uppgift om Rönnenskolan med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8731";="2026-09-03";="Uppgift om Karstorpskolan med huvudmannen LOMMA KOMMUN i Lomma kommun "
="SI 2026:8730";="2026-09-03";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Lindöskolan för Offentlig huvudman KALMAR KOMMUN i Kalmar kommun, läsåret 2026/2027 "
="SI 2026:8729";="2026-09-03";="Uppgift om Stocka skola med huvudmannen STOCKA SKOLA EKONOMISK FÖRENING i Nordanstigs kommun "
="SI 2026:8728";="2026-09-03";="Uppgift om Lindbackaskolan med huvudmannen LINDESBERGS KOMMUN i Lindesbergs kommun "
="SI 2026:8727";="2026-09-03";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Söderköpings Waldorfskola för Enskild huvudman STIFTELSEN SÖDERKÖPINGS WALDORFSKOLA i Söderköpings kommun, läsåret 2026/2027 "
="SI 2026:8726";="2026-09-03";="Uppgift om KompetensUtvecklingsInstitutet i Sverige AB (KUI) med huvudmannen MARKARYDS KOMMUN i Markaryds kommun "
="SI 2026:8725";="2026-09-03";="Uppgift om Stadsöskolan 4-6 med huvudmannen LULEÅ KOMMUN i Luleå kommun "
="SI 2026:8724";="2026-09-03";="Uppgift om Vidhögeskolan F-9 och fritidshem med huvudmannen VARBERGS KOMMUN i Varbergs kommun "
="SI 2026:8723";="2026-09-03";"Riktad tillsyn, Individs situation av Stensättersskolan för Offentlig huvudman KATRINEHOLMS KOMMUN i Katrineholms kommun "
