case_id,diarienummer,case_date,document_id,document_type,source_url,local_path,filename,mime_type,file_size,sha256,http_status,downloaded_at,download_status,error_message,kommun,skola,skolkod,huvudman,arendetyp,beslutstyp,beslutsdatum,arendemening,source_system,link_source,link_confidence,attempts,run_id
SI 2018:10735,SI 2018:10735,,siris-636519,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=636519,archive/2018/SI_2018-10735/siris-636519.pdf,siris-636519.pdf,application/pdf,668443,0a2e6463bdcc837930418d60ac0f40042e7d94b2331c7889571283708b94db7a,200,2026-09-04T14:07:58Z,ok,,,,,,,,,,SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),unverified,1,20260904T160757
SI 2024:21120,SI 2024:21120,,siris-648018,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=648018,archive/2024/SI_2024-21120/siris-648018.pdf,siris-648018.pdf,application/pdf,168538,58209d2e01bc9ad5d48faccdd3fe443eb27e104a147c17009ef30a216e52db27,200,2026-09-04T14:07:58Z,ok,,,,,,,,,,SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),unverified,1,20260904T160757
SI 2019:300,SI 2019:300,2019-01-14,siris-617826,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=617826,archive/2019/SI_2019-300/siris-617826.pdf,siris-617826.pdf,application/pdf,419713,dcc17e15b53b7a69ffece31eb8c804493e7ff1bb87228185dcd2de88e1779d40,200,2026-09-04T14:07:59Z,ok,,Nordanstig,Gnarps skola,32915290,NORDANSTIGS KOMMUN,Regelbunden prioriterad tillsyn,,,"Regelbunden prioriterad tillsyn av Gnarps skola, grundskola, för den offentliga huvudmannen Nordanstigs kommun, läsåret 2018/2019",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160757
SI 2019:302,SI 2019:302,2019-01-14,siris-617027,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=617027,archive/2019/SI_2019-302/siris-617027.pdf,siris-617027.pdf,application/pdf,271334,27df7383995fd3ded4e971d8e1e047ee41e9b27ed444ef56b3c2ba0d16d5637e,200,2026-09-04T14:07:59Z,ok,,Täby,Sparre Gymnasium,12399380,Upplevelse Utbildning i Täby AB,Regelbunden prioriterad tillsyn,,,"Regelbunden prioriterad tillsyn av Sparre Gymnasium, gymnasieskola, i Täby kommun, för den enskilda huvudmannen Upplevelse Utbildning i Täby AB, läsåret 2018/2019",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160757
SI 2019:1113,SI 2019:1113,2019-02-04,siris-612300,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=612300,archive/2019/SI_2019-1113/siris-612300.pdf,siris-612300.pdf,application/pdf,385315,e68338a70f1700f5feaf04b98c6b7f6b3ef5cefa0119c03617870bb0e6fde329,200,2026-09-04T14:08:00Z,ok,,Gotland,,,,Regelbunden huvudmannatillsyn,,,"Regelbunden huvudmannatillsyn av fritidshem för den offentliga huvudmannen Gotlands kommun, läsåret 2018/2019",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160757
SI 2019:1114,SI 2019:1114,2019-02-04,siris-611861,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=611861,archive/2019/SI_2019-1114/siris-611861.pdf,siris-611861.pdf,application/pdf,283175,c839edd47d3dda379136bbc6be21ccc76e314e91725a1f2516bd6436e3e74899,200,2026-09-04T14:08:09Z,ok,,Gotland,,,,Regelbunden huvudmannatillsyn,,,"Regelbunden huvudmannatillsyn av förskola för den offentliga huvudmannen Gotlands kommun, läsåret 2018/2019",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160808
SI 2019:1115,SI 2019:1115,2019-02-04,siris-611860,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=611860,archive/2019/SI_2019-1115/siris-611860.pdf,siris-611860.pdf,application/pdf,366158,12748b9a97396447d2604ce1b430dee68384a8f2316f073f3c68afdf04d47763,200,2026-09-04T14:08:09Z,ok,,Gotland,,,,Regelbunden huvudmannatillsyn,,,"Regelbunden huvudmannatillsyn av grundskola för den offentliga huvudmannen Gotlands kommun, läsåret 2018/2019",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160808
SI 2019:1116,SI 2019:1116,2019-02-04,siris-617355,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=617355,archive/2019/SI_2019-1116/siris-617355.pdf,siris-617355.pdf,application/pdf,265250,875ef83b3188a874e98660e057daa67b002c2183d5a0caa96b570686edb5b9ca,200,2026-09-04T14:08:10Z,ok,,Gotland,,,,Regelbunden huvudmannatillsyn,,,"Regelbunden huvudmannatillsyn av gymnasieskola för den offentliga huvudmannen Gotlands kommun, läsåret 2018/2019",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160808
SI 2019:3167,SI 2019:3167,2019-04-02,siris-636280,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=636280,archive/2019/SI_2019-3167/siris-636280.pdf,siris-636280.pdf,application/pdf,176464,d96a2037fc992fb07dadd6129d5a9ee833a989948fc2713df2275cc4b5382646,200,2026-09-04T14:08:10Z,ok,,Umeå,,,,Riktad tillsyn,,,"Riktad tillsyn av Språkskolan i Umeå Ekonomisk förening, tillsyn utifrån ekonomiska förutsättningar",SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160808
SI 2019:5847,SI 2019:5847,2019-06-26,siris-625407,beslut,https://siris.skolverket.se/siris/ris.openfile?docID=625407,archive/2019/SI_2019-5847/siris-625407.pdf,siris-625407.pdf,application/pdf,691306,4a1dd1a0424b8e44f6cf8d75652b7a9bc09f64546da2e39b7769a671a2c0a05b,200,2026-09-04T14:08:11Z,ok,,Pajala,Pajala Centralskola,12443258,PAJALA KOMMUN,Riktad tillsyn,,,Riktad tillsyn av Pajala Centralskola i Pajala kommun,SIRIS,beslut.json (scan_siris.py: Dnr ur PDF sida 1),high,1,20260904T160808
